,text,url,price,cpu_name,cpu_gen,cpu_brand,discount_value,store
0,DELL G3 15-3500 Gaming Laptop - Intel Core I5 - 8GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GPU - Ubuntu - Black,https://www.jumia.com.eg/g3-15-3500-gaming-laptop-intel-core-i5-8gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gpu-ubuntu-black-dell-mpg759490.html,930,I5,5,Intel,18,Jumia (EG)
1,Acer Nitro 5 Laptop - Intel Core I5 10TH - 8GB RAM - 256GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Black (English Keyboard),https://www.jumia.com.eg/nitro-5-laptop-intel-core-i5-10th-8gb-ram-256gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-black-english-keyboard-acer-mpg771777.html,870,I5,5,Intel,19,Jumia (EG)
2,Lenovo Legion 5-15IMH05H Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 6GB GTX1660 Ti GPU - Windows 10 - Phantom Black (English Keyboard),https://www.jumia.com.eg/legion-5-15imh05h-gaming-laptop-intel-core-i7-10750h-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-6gb-gtx1660-ti-gpu-windows-10-phantom-black-english-keyboard-lenovo-mpg757584.html,1193,I7,7,Intel,20,Jumia (EG)
3,DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 16GB RAM - 512GB SSD - 4GB GPU - 15.6-inch FHD - Black,https://www.jumia.com.eg/dell-g5-15-5500-gaming-laptop-intel-core-i7-16gb-ram-512gb-ssd-4gb-gpu-15.6-inch-fhd-black-21173886.html,1014,I7,7,Intel,16,Jumia (EG)
4,Lenovo Legion 5-15IMH05 Gaming Laptop - Intel Core I7-10750H - 8GB RAM - 512GB SSD - 15.6-inch FHD - 4GB GTX 1650 Ti GPU - Windows 10 - Phantom Black (English Keyboard),https://www.jumia.com.eg/legion-5-15imh05-gaming-laptop-intel-core-i7-10750h-8gb-ram-512gb-ssd-15.6-inch-fhd-4gb-gtx-1650-ti-gpu-windows-10-phantom-black-english-keyboard-lenovo-mpg762977.html,1011,I7,7,Intel,11,Jumia (EG)
5,Acer Nitro 5 Gaming Laptop - Intel Core I7 - 16GB RAM - 256GB SSD + 1TB HDD - 15.6-inch FHD - 4GB GPU - DOS - Obsidian Black,https://www.jumia.com.eg/nitro-5-gaming-laptop-intel-core-i7-16gb-ram-256gb-ssd-1tb-hdd-15.6-inch-fhd-4gb-gpu-dos-obsidian-black-acer-mpg758358.html,990,I7,7,Intel,18,Jumia (EG)
6,MSI GF65 Thin 9SEXR Gaming Laptop - Intel Core I7 - 8GB RAM - 512GB SSD - 15.6-inch FHD - 6GB GPU - Windows 10 - Black,https://www.jumia.com.eg/gf65-thin-9sexr-gaming-laptop-intel-core-i7-8gb-ram-512gb-ssd-15.6-inch-fhd-6gb-gpu-windows-10-black-msi-mpg769018.html,1140,I7,7,Intel,24,Jumia (EG)
7,DELL G5 15-5500 Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB SSD - 15.6-inch FHD - 6GB GPU - Windows 10 - Black,https://www.jumia.com.eg/dell-g5-15-5500-gaming-laptop-intel-core-i7-16gb-ram-1tb-ssd-15.6-inch-fhd-6gb-gpu-windows-10-black-21163034.html,1425,I7,7,Intel,9,Jumia (EG)
8,HP 15-dk0056wm Pavilion Gaming Laptop - Intel Core I5 - 8GB RAM - 256GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Shadow Black (English Keyboard),https://www.jumia.com.eg/hp-15-dk0056wm-pavilion-gaming-laptop-intel-core-i5-8gb-ram-256gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-shadow-black-english-keyboard-21200137.html,840,I5,5,Intel,13,Jumia (EG)
9,Lenovo Legion 5-15IMH05H Gaming Laptop - Intel Core I7-10750H - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 6GB GTX1660 Ti GPU - Windows 10 - Phantom Black,https://www.jumia.com.eg/legion-5-15imh05h-gaming-laptop-intel-core-i7-10750h-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-6gb-gtx1660-ti-gpu-windows-10-phantom-black-lenovo-mpg773582.html,1260,I7,7,Intel,5,Jumia (EG)
10,Lenovo Legion 5-15IMH05 Gaming Laptop - Intel Core I7 - 16GB RAM - 1TB HDD + 512GB SSD - 15.6-inch FHD - 4GB GPU - Windows 10 - Phantom Black (English Keyboard),https://www.jumia.com.eg/legion-5-15imh05-gaming-laptop-intel-core-i7-16gb-ram-1tb-hdd-512gb-ssd-15.6-inch-fhd-4gb-gpu-windows-10-phantom-black-english-keyboard-lenovo-mpg763783.html,1076,I7,7,Intel,6,Jumia (EG)
