"selection1_name","selection1_url","selection1_selection2","selection1_selection2_url"
"لاب توب العاب من ام اس اي جي اس 66 ستيلث 10SFS-032 15.6 انش، 300 هرتز 3 ام اس، انتل كور اي 9-10980 اتش كيه، ار تي اكس 2070 سوبر 32 جيجا، وسيط تخزين ذو حالة ثابتة 1 تيرا تي بي 3 ويندوز 10 برو في ار","https://www.amazon.sa/%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D8%B3%D8%AA%D9%8A%D9%84%D8%AB-10SFS-032-9-10980-%D9%88%D9%8A%D9%86%D8%AF%D9%88%D8%B2/dp/B085B37214/ref=sr_1_1?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-1","11,377.16 ريالريال‎11,377.‎16‏","https://www.amazon.sa/%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D8%B3%D8%AA%D9%8A%D9%84%D8%AB-10SFS-032-9-10980-%D9%88%D9%8A%D9%86%D8%AF%D9%88%D8%B2/dp/B085B37214/ref=sr_1_1?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-1"
"لاب توب ام اس اي للالعاب GL65 ليوبارد 10SFK-062 رفيع الاطار بشاشة 15.6 انش فل اتش دي 144 هرتز 3 ميلي ثانية، RTX2070 انتل كور i7-10750H ذاكرة 16 جيجا و512 جيجا واس اس دي ويندوز 10","https://www.amazon.sa/%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D9%84%D9%8A%D9%88%D8%A8%D8%A7%D8%B1%D8%AF-10SFK-062-RTX2070-i7-10750H/dp/B085B3GFRL/ref=sr_1_2?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-2","5,918.53 ريالريال‎5,918.‎53‏","https://www.amazon.sa/%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D9%84%D9%8A%D9%88%D8%A8%D8%A7%D8%B1%D8%AF-10SFK-062-RTX2070-i7-10750H/dp/B085B3GFRL/ref=sr_1_2?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-2"
"سماعة راس للالعاب HS35 من كورسير - سماعات راس بصوت مضخم للالعاب - وسادات اذن من رغوة الذاكرة - سماعات الراس مصممة لجهاز Xbox one والموبايل - اخضر","https://www.amazon.sa/%D8%B3%D9%85%D8%A7%D8%B9%D8%A9-%D8%B1%D8%A7%D8%B3-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-HS35-%D9%83%D9%88%D8%B1%D8%B3%D9%8A%D8%B1/dp/B07QWB8SNH/ref=sr_1_3?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-3","229.00 ريالريال‎229.‎00‏","https://www.amazon.sa/%D8%B3%D9%85%D8%A7%D8%B9%D8%A9-%D8%B1%D8%A7%D8%B3-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-HS35-%D9%83%D9%88%D8%B1%D8%B3%D9%8A%D8%B1/dp/B07QWB8SNH/ref=sr_1_3?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-3"
"لاب توب لينوفو ليجون 5 15.6 انش فل اتش دي (1920x1080) اي بي اس ومعالج ايه ام دي رايزن 7 4800H، دي دي ار 4 16 جيجا ووسيط تخزين ذو حالة ثابتة 512 جيجا، نفيديا جي تي اكس 1660Ti، ويندوز 10 - اسود فانتوم","https://www.amazon.sa/%D9%84%D9%8A%D9%86%D9%88%D9%81%D9%88-1920x1080-%D9%88%D9%85%D8%B9%D8%A7%D9%84%D8%AC-4800H%D8%8C-1660Ti%D8%8C/dp/B08BB9RWXD/ref=sr_1_4?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-4","4,129.11 ريالريال‎4,129.‎11‏","https://www.amazon.sa/%D9%84%D9%8A%D9%86%D9%88%D9%81%D9%88-1920x1080-%D9%88%D9%85%D8%B9%D8%A7%D9%84%D8%AC-4800H%D8%8C-1660Ti%D8%8C/dp/B08BB9RWXD/ref=sr_1_4?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-4"
"لاب توب ايسر نيترو 5 الجيل التاسع انتل كورi5-9300H، نفيديا جيفورس جي تي اكس 1650، اي بي اس فل اتش دي 15.6 انش، 8 جيجا دي دي ار 4، 256 جيجا، وسيط تخزين ذو حالة ثابتة، واي فاي 6، AN515-54-5812","https://www.amazon.sa/%D8%A7%D9%8A%D8%B3%D8%B1-%D8%A7%D9%84%D8%AA%D8%A7%D8%B3%D8%B9-%D9%83%D9%88%D8%B1i5-9300H%D8%8C-%D9%86%D9%81%D9%8A%D8%AF%D9%8A%D8%A7-AN515-54-5812/dp/B08H2H89K1/ref=sr_1_5?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-5","3,240.10 ريالريال‎3,240.‎10‏","https://www.amazon.sa/%D8%A7%D9%8A%D8%B3%D8%B1-%D8%A7%D9%84%D8%AA%D8%A7%D8%B3%D8%B9-%D9%83%D9%88%D8%B1i5-9300H%D8%8C-%D9%86%D9%81%D9%8A%D8%AF%D9%8A%D8%A7-AN515-54-5812/dp/B08H2H89K1/ref=sr_1_5?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-5"
"لاب توب ايسر بريداتور هيلوس 300 للالعاب انتل i7-10750H، نفيديا جيفورس ار تي اكس 2060 6 جيجا، 15.6 انش فل اتش دي 144 هرتز، 16 جيجا دي دي ار 4، 512 جيجا، واي فاي 6، لوحة مفاتيح ار جي بي، PH315-53-72XD","https://www.amazon.sa/%D8%A7%D9%8A%D8%B3%D8%B1-%D8%A8%D8%B1%D9%8A%D8%AF%D8%A7%D8%AA%D9%88%D8%B1-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-i7-10750H%D8%8C-PH315-53-72XD/dp/B08842D7JS/ref=sr_1_6?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-6","7,550.00 ريالريال‎7,550.‎00‏","https://www.amazon.sa/%D8%A7%D9%8A%D8%B3%D8%B1-%D8%A8%D8%B1%D9%8A%D8%AF%D8%A7%D8%AA%D9%88%D8%B1-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-i7-10750H%D8%8C-PH315-53-72XD/dp/B08842D7JS/ref=sr_1_6?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-6"
"لاب توب للألعاب ASUS TUF 2021، شاشة 15.6 بوصة بدقة 144 هرتز، معالج انتل كور i7-9750H، جيفورس جي تي اكس 1650، ذاكرة رام دي دي 4 1 تيرا اس اس دي، واي فاي 5، ويندوز 10 هوم + قطعة قماش من أوديسين","https://www.amazon.sa/%D9%84%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-TUF-i7-9750H%D8%8C-%D8%AC%D9%8A%D9%81%D9%88%D8%B1%D8%B3-%D8%A3%D9%88%D8%AF%D9%8A%D8%B3%D9%8A%D9%86/dp/B08SHN8MDY/ref=sr_1_7?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-7","4,522.51 ريالريال‎4,522.‎51‏","https://www.amazon.sa/%D9%84%D9%84%D8%A3%D9%84%D8%B9%D8%A7%D8%A8-TUF-i7-9750H%D8%8C-%D8%AC%D9%8A%D9%81%D9%88%D8%B1%D8%B3-%D8%A3%D9%88%D8%AF%D9%8A%D8%B3%D9%8A%D9%86/dp/B08SHN8MDY/ref=sr_1_7?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-7"
"لاب توب اسوس TUF للالعاب بشاشة 15.6 انش فل اتش دي - معالج انتل كور i5-10300H - ذاكرة 8 جيجا - ذاكرة تخزين 256 جيجا - نفيديا جيفورس جي تي اكس 1650 Ti - اسود","https://www.amazon.sa/%D9%84%D8%A7%D8%A8-%D8%A7%D8%B3%D9%88%D8%B3-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D8%A8%D8%B4%D8%A7%D8%B4%D8%A9-15-6/dp/B07WNGFTN2/ref=sr_1_8?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-8","3,510.32 ريالريال‎3,510.‎32‏","https://www.amazon.sa/%D9%84%D8%A7%D8%A8-%D8%A7%D8%B3%D9%88%D8%B3-%D9%84%D9%84%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D8%A8%D8%B4%D8%A7%D8%B4%D8%A9-15-6/dp/B07WNGFTN2/ref=sr_1_8?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-8"
"ام اس اي جي بي 65 ليوبارد","https://www.amazon.sa/%D8%A7%D9%85-%D8%A7%D8%B3-%D8%A7%D9%8A-%D8%AC%D9%8A-%D9%84%D9%8A%D9%88%D8%A8%D8%A7%D8%B1%D8%AF/dp/B08DHT9KFK/ref=sr_1_9?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-9","",""
"لاب توب لينوفو ليجين Y540-15، شاشة 15.6 انش اي بي اس، 60 هرتز، 300 هرتز، انتل كور i7-9750H، 16G DDR4 2666Mz، 512 جيجا، 1 تيرابايت 7200، نيفيدا GTX1660Ti، ويندوز 10، 81SX00NNUS، اسود","https://www.amazon.sa/%D9%84%D9%8A%D9%86%D9%88%D9%81%D9%88-Y540-15%D8%8C-i7-9750H%D8%8C-GTX1660Ti%D8%8C-81SX00NNUS%D8%8C/dp/B07YLJZV2G/ref=sr_1_10?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-10","5,458.03 ريالريال‎5,458.‎03‏","https://www.amazon.sa/%D9%84%D9%8A%D9%86%D9%88%D9%81%D9%88-Y540-15%D8%8C-i7-9750H%D8%8C-GTX1660Ti%D8%8C-81SX00NNUS%D8%8C/dp/B07YLJZV2G/ref=sr_1_10?dchild=1&keywords=Gemming+laptop&qid=1615467557&sr=8-10"
